Iniciativa,Impacto,Alineacion,ROI,Escalabilidad,Replicabilidad,Madurez,Tiempo,Riesgo,Complejidad,Beneficio promedio,Area,Tiempo,Costo desarrollo,Costo renta,Beneficio (%),Indice Financiero Total (%),Categoria
Gestor de Propuestas Tacnicas,5,4,3,5,4,3,5,5,5,4.33,SMC,8.5,"$4,620.00",$84.24,86.6,24.21,Alta prioridad
Propuestas Servicio Base,5,4,3,4,4,3,5,5,5,4.22,CSP,29.75,"$14,236.00",$874.59,84.4,77.76,Media prioridad
Seguimiento Tickets SOC,5,4,3,4,4,3,5,5,5,4.22,MDR SOC,23.5,"$12,170.00","$1,530.62",84.4,70.51,Media prioridad
Candidato 360,4,5,3,4,4,3,5,5,5,4.22,RRHH,14.25,"$7,429.00",$15.15,84.4,38.31,Alta prioridad
Automatizacion Precalificacion CRM,5,4,3,5,3,3,5,5,5,4.22,Ventas ,20.25,"$10,340.00","$8,470.96",84.4,96.8,Media prioridad
Reportes Marketing,4,4,3,4,4,3,5,5,5,4.11,MKT,14.49,"$7,427.00","$6,510.78",82.2,71.73,Media prioridad
Automatizacion  de flujos,4,5,3,4,5,4,4,4,4,4.11,SA,11,"$6,000.00",$84.83,82.2,31.31,Alta prioridad
Modulo de Consolidación y Diagnostico de  Solapamientos Tecnologicos,5,4,3,4,3,3,5,5,5,4.11,CSS,13.4,"$7,170.00",$292.77,82.2,38.4,Alta prioridad
Creacion Clientes Nuevos,5,4,3,5,4,3,4,4,4,4, Ventas ,22.25,"$12,000.00",$560.94,80,64.64,Media prioridad
Xperts Connect,5,4,4,5,3,3,4,4,4,4,CSS,31.6,"$16,620.00",$882.99,80,90.07,Media prioridad
Contratos Estandarizados,5,4,3,5,4,3,4,4,4,4,MSS,26.75,"$13,410.00",$322.12,80,70.67,Media prioridad
MiRH,3,5,4,3,5,4,4,4,4,4,RRHH,3,"$1,660.00",$90.00,80,9.01,Alta prioridad
HR Insight,5,4,3,4,2,3,5,5,5,4,RRHH,26,"$13,585.00",$477.00,80,72.37,Media prioridad
Onesec TalentTrack,5,4,3,4,2,3,5,5,5,4,RRHH,38,"$19,153.00",$279.00,80,100,Media prioridad
CSS-manuales PROSA,5,4,3,4,4,3,4,4,4,3.89,CSS,22.87,"$11,864.00",$841.67,77.8,65.39,Media prioridad
Registro Inteligente ServiceNow,4,4,3,4,4,3,4,4,4,3.78,SA,9.5,"$5,270.00",$617.00,75.6,30.3,Alta prioridad
Cuestionarios de dimensionamiento,4,4,3,4,4,3,4,4,4,3.78,CSP,8.6,"$4,720.00",$53.20,75.6,24.56,Alta prioridad
Calculo de Puntos Expert Connect,5,4,3,4,3,3,4,4,4,3.78,SA,25,"$11,400.00","$3,486.29",75.6,76.61,Media prioridad
Automatizacion Encuestas NSAT,4,4,4,4,3,3,4,4,4,3.78,PMO,16.1,"$8,780.00","$2,022.00",75.6,55.59,Media prioridad
HelpDesk Voice,4,4,3,4,4,3,4,4,4,3.78,AITU,10,"$5,380.00",$403.56,75.6,29.76,Alta prioridad
Asistente Adopcion Copilot,4,4,3,4,3,3,4,4,4,3.67,CM,16,"$4,540.00","$7,922.00",73.4,64.13,Media prioridad
Power BI PMO,5,4,3,4,3,2,4,4,4,3.67,PMO,15,"$7,390.00","$3,414.00",73.4,55.6,Media prioridad
Vibe Balance,4,4,3,3,3,3,3,3,5,3.44,RRHH,8.6,"$4,510.00",$265.00,68.8,24.57,Alta prioridad
Generacion de artefactos ofensivos,4,2,3,3,3,1,2,2,2,2.44,OS,14.7,"$7,480.00","$1,470.00",48.8,46.06,Baja prioridad
